time-step,cId,c.cpu(full/used),c.storage(full/used),c.ram(full/used),c.currUsersAllocated
121,c60,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c61,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c62,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c63,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c64,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c65,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c66,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c67,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c68,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c69,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c70,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c71,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c72,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c73,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c74,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c75,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c76,"(224000, 159991)","(147456, 98370)","(311296, 147784)","['v8', 'v21', 'v87']"
121,c77,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c78,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c79,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c80,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c81,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c82,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c83,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c84,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c85,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c86,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c87,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c88,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c89,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c90,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c91,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c92,"(224000, 128316)","(147456, 81867)","(311296, 114708)","['v5', 'v17', 'v23', 'v25']"
121,c93,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c94,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
